"";"satz";"inhalt";"satzlaenge"
"5953";1;"Als der sechzehnjährige Karl Roßmann, der von seinen armen Eltern nach Amerika geschickt worden war, weil ihn ein Dienstmädchen verführt und ein Kind von ihm bekommen hatte, in dem schon langsam gewordenen Schiff in den Hafen von New York einfuhr, erblickte er die schon längst beobachtete Statue der Freiheitsgöttin wie in einem plötzlich stärker gewordenen Sonnenlicht.";56
"5954";2;"Ihr Arm mit dem Schwert ragte wie neuerdings empor, und um ihre Gestalt wehten die freien Lüfte.";17
"5955";3;"›So hoch!‹";2
"5956";4;"sagte er sich und wurde, wie er so gar nicht an das Weggehen dachte, von der immer mehr anschwellenden Menge der Gepäckträger, die an ihm vorüberzogen, allmählich bis an das Bordgeländer geschoben.";32
"5957";5;"Ein junger Mann, mit dem er während der Fahrt flüchtig bekannt geworden war, sagte im Vorübergehen: »Ja, haben Sie denn noch keine Lust, auszusteigen?«";24
"5958";6;"»Ich bin doch fertig«, sagte Karl, ihn anlachend, und hob aus Übermut, und weil er ein starker Junge war, seinen Koffer auf die Achsel.";24
"5959";7;"Aber wie er über seinen Bekannten hinsah, der ein wenig seinen Stock schwenkend sich schon mit den andern entfernte, merkte er bestürzt, daß er seinen eigenen Regenschirm unten im Schiff vergessen hatte.";32
"5960";8;"Er bat schnell den Bekannten, der nicht sehr beglückt schien, um die Freundlichkeit, bei seinem Koffer einen Augenblick zu warten, überblickte noch die Situation, um sich bei der Rückkehr zurechtzufinden, und eilte davon.";33
"5961";9;"Unten fand er zu seinem Bedauern einen Gang, der seinen Weg sehr verkürzt hätte, zum erstenmal versperrt, was wahrscheinlich mit der Ausschiffung sämtlicher Passagiere zusammenhing, und mußte Treppen, die einander immer wieder folgten, durch fortwährend abbiegende Korridore, durch ein leeres Zimmer mit einem verlassenen Schreibtisch mühselig suchen, bis er sich tatsächlich, da er diesen Weg nur ein- oder zweimal und immer in größerer Gesellschaft gegangen war, ganz und gar verirrt hatte.";71
"5962";10;"In seiner Ratlosigkeit und da er keinen Menschen traf und nur immerfort über sich das Scharren der tausend Menschenfüße hörte und von der Ferne, wie einen Hauch, das letzte Arbeiten der schon eingestellten Maschinen merkte, fing er, ohne zu überlegen, an eine beliebige kleine Tür zu schlagen an, bei der er in seinem Herumirren stockte.";55
"5963";11;"»Es ist ja offen«, rief es von innen, und Karl öffnete mit ehrlichem Aufatmen die Tür.";16
"5964";12;"»Warum schlagen Sie so verrückt auf die Tür?«";8
"5965";13;"fragte ein riesiger Mann, kaum daß er nach Karl hinsah.";10
"5966";14;"Durch irgendeine Oberlichtluke fiel ein trübes, oben im Schiff längst abgebrauchtes Licht in die klägliche Kabine, in welcher ein Bett, ein Schrank, ein Sessel und der Mann knapp nebeneinander, wie eingelagert, standen.";32
"5967";15;"»Ich habe mich verirrt«, sagte Karl, »Ich habe es während der Fahrt gar nicht so bemerkt, aber es ist ein schrecklich großes Schiff.«";23
"5968";16;"»Ja, da haben Sie recht«, sagte der Mann mit einigem Stolz und hörte nicht auf, an dem Schloß eines kleinen Koffers zu hantieren, den er mit beiden Händen immer wieder zudrückte, um das Einschnappen des Riegels zu behorchen.";38
"5969";17;"»Aber kommen Sie doch herein!«";5
"5970";18;"sagte der Mann weiter, »Sie werden doch nicht draußen stehn!«";10
"5971";19;"»Störe ich nicht?«";3
"5972";20;"fragte Karl.";2
"5973";21;"»Ach, wie werden Sie denn stören!«";6
"5974";22;"»Sind Sie ein Deutscher?«";4
"5975";23;"suchte sich Karl noch zu versichern, da er viel von den Gefahren gehört hatte, welche besonders von Irländern den Neuankömmlingen in Amerika drohen.";23
"5976";24;"»Bin ich, bin ich«, sagte der Mann.";7
"5977";25;"Karl zögerte noch.";3
"5978";26;"Da faßte unversehens der Mann die Türklinke und schob mit der Türe, die er rasch schloß, Karl zu sich herein.";20
"5979";27;"»Ich kann es nicht leiden, wenn man mir vom Gang hereinschaut«, sagte der Mann, der wieder an seinem Koffer arbeitete, »da läuft jeder vorbei und schaut herein, das soll der Zehnte aushalten!«";32
"5980";28;"»Aber der Gang ist doch ganz leer«, sagte Karl, der unbehaglich an den Bettpfosten gequetscht dastand.";16
"5981";29;"»Ja, jetzt«, sagte der Mann.";5
"5982";30;"›Es handelt sich doch um jetzt‹, dachte Karl, ›mit dem Mann ist schwer zu reden.‹";15
"5983";31;"»Legen Sie sich doch aufs Bett, da haben Sie mehr Platz«, sagte der Mann.";14
"5984";32;"Karl kroch, so gut es ging, hinein und lachte dabei laut über den ersten vergeblichen Versuch, sich hinüberzuschwingen.";18
"5985";33;"Kaum war er aber im Bett, rief er: »Gotteswillen, ich habe ja ganz meinen Koffer vergessen!«";16
"5986";34;"»Wo ist er denn?«";4
"5987";35;"»Oben auf dem Deck, ein Bekannter gibt acht auf ihn.";10
"5988";36;"Wie heißt er nur?«";4
"5989";37;"Und er zog aus seiner Geheimtasche, die ihm seine Mutter für die Reise im Rockfutter angelegt hatte, eine Visitkarte.";19
"5990";38;"»Butterbaum, Franz Butterbaum.«";3
"5991";39;"»Haben Sie den Koffer sehr nötig?«";6
"5992";40;"»Natürlich.«";1
"5993";41;"»Ja, warum haben Sie ihn dann einem fremden Menschen gegeben?«";10
"5994";42;"»Ich habe meinen Regenschirm unten vergessen und bin gelaufen, um ihn zu holen, wollte aber den Koffer nicht mitschleppen.";19
"5995";43;"Dann habe ich mich auch hier noch verirrt.«";8
"5996";44;"»Sie sind allein?";3
"5997";45;"Ohne Begleitung?«";2
"5998";46;"»Ja, allein.«";2
"5999";47;"›Ich sollte mich vielleicht an diesen Mann halten‹, ging es Karl durch den Kopf, ›wo finde ich gleich einen besseren Freund.‹";21
"6000";48;"»Und jetzt haben Sie auch noch den Koffer verloren.";9
"6001";49;"Vom Regenschirm rede ich gar nicht.«";6
"6002";50;"Und der Mann setzte sich auf den Sessel, als habe Karls Sache jetzt einiges Interesse für ihn gewonnen.";18
"6003";51;"»Ich glaube aber, der Koffer ist noch nicht verloren.«";9
"6004";52;"»Glauben macht selig«, sagte der Mann und kratzte sich kräftig in seinem dunklen, kurzen, dichten Haar, »auf dem Schiff wechseln mit den Hafenplätzen auch die Sitten.";26
"6005";53;"In Hamburg hätte Ihr Butterbaum den Koffer vielleicht bewacht, hier ist höchstwahrscheinlich von beiden keine Spur mehr.«";17
"6006";54;"»Da muß ich aber doch gleich hinaufschauen«, sagte Karl und sah sich um, wie er hinauskommen könnte.";17
"6007";55;"»Bleiben Sie nur«, sagte der Mann und stieß ihn mit einer Hand gegen die Brust, geradezu rauh, ins Bett zurück.";20
"6008";56;"»Warum denn?«";2
"6009";57;"fragte Karl ärgerlich.";3
"6010";58;"»Weil es keinen Sinn hat«, sagte der Mann, »in einem kleinen Weilchen gehe ich auch, dann gehen wir zusammen.";19
"6011";59;"Entweder ist der Koffer gestohlen, dann ist keine Hilfe, oder der Mann hat ihn stehengelassen, dann werden wir ihn, bis das Schiff ganz entleert ist, desto besser finden.";28
"6012";60;"Ebenso auch Ihren Regenschirm.«";4
"6013";61;"»Kennen Sie sich auf dem Schiff aus?«";7
"6014";62;"fragte Karl mißtrauisch, und es schien ihm, als hätte der sonst überzeugende Gedanke, daß auf dem leeren Schiff seine Sachen am besten zu finden sein würden, einen verborgenen Haken.";29
"6015";63;"»Ich bin doch Schiffsheizer«, sagte der Mann.";7
"6016";64;"»Sie sind Schiffsheizer!«";3
"6017";65;"rief Karl freudig, als überstiege das alle Erwartungen, und sah, den Ellbogen aufgestützt, den Mann näher an.";17
"6018";66;"»Gerade vor der Kammer, wo ich mit dem Slowaken geschlafen habe, war eine Luke angebracht, durch die man in den Maschinenraum sehen konnte.«";23
"6019";67;"»Ja, dort habe ich gearbeitet,« sagte der Heizer.";8
"6020";68;"»Ich habe mich immer so für Technik interessiert«, sagte Karl, der in einem bestimmten Gedankengang blieb, »und ich wäre sicher später Ingenieur geworden, wenn ich nicht nach Amerika hätte fahren müssen.«";31
"6021";69;"»Warum haben Sie denn fahren müssen?«";6
"6022";70;"»Ach was!«";2
"6023";71;"sagte Karl und warf die ganze Geschichte mit der Hand weg.";11
"6024";72;"Dabei sah er lächelnd den Heizer an, als bitte er ihn selbst für das Nichteingestandene um seine Nachsicht.";18
"6025";73;"»Es wird schon einen Grund haben«, sagte der Heizer, und man wußte nicht recht, ob er damit die Erzählung dieses Grundes fordern oder abwehren wollte.";25
"6026";74;"»Jetzt könnte ich auch Heizer werden«, sagte Karl, »meinen Eltern ist es jetzt ganz gleichgültig, was ich werde.«";18
"6027";75;"»Meine Stelle wird frei«, sagte der Heizer, gab im Vollbewußtsein dessen die Hände in die Hosentaschen und warf die Beine, die in faltigen, lederartigen, eisengrauen Hosen staken, aufs Bett hin, um sie zu strecken.";34
"6028";76;"Karl mußte mehr an die Wand rücken.";7
"6029";77;"»Sie verlassen das Schiff?«";4
"6030";78;"»Jawohl, wir marschieren heute ab.«";5
"6031";79;"»Warum denn?";2
"6032";80;"Gefällt es Ihnen nicht?«";4
"6033";81;"»Ja, das sind die Verhältnisse, es entscheidet nicht immer, ob es einem gefällt oder nicht.";15
"6034";82;"Übrigens haben Sie recht, es gefällt mir auch nicht.";9
"6035";83;"Sie denken wahrscheinlich nicht ernstlich daran, Heizer zu werden, aber gerade dann kann man es am leichtesten werden.";18
"6036";84;"Ich also rate Ihnen entschieden ab.";6
"6037";85;"Wenn Sie in Europa studieren wollten, warum wollen Sie es denn hier nicht?";13
"6038";86;"Die amerikanischen Universitäten sind ja unvergleichbar besser als die europäischen.«";10
"6039";87;"»Es ist ja möglich«, sagte Karl, »aber ich habe ja fast kein Geld zum Studieren.";15
"6040";88;"Ich habe zwar von irgend jemandem gelesen, der bei Tag in einem Geschäft gearbeitet und in der Nacht studiert hat, bis er Doktor und ich glaube Bürgermeister wurde, aber dazu gehört doch eine große Ausdauer, nicht?";36
"6041";89;"Ich fürchte, die fehlt mir.";5
"6042";90;"Außerdem war ich kein besonders guter Schüler, der Abschied von der Schule ist mir wirklich nicht schwer geworden.";18
"6043";91;"Und die Schulen hier sind vielleicht noch strenger.";8
"6044";92;"Englisch kann ich fast gar nicht.";6
"6045";93;"Überhaupt ist man hier gegen Fremde so eingenommen, glaube ich.«";10
"6046";94;"»Haben Sie das auch schon erfahren?";6
"6047";95;"Na, dann ist's gut.";4
"6048";96;"Dann sind Sie mein Mann.";5
"6049";97;"Sehen Sie, wir sind doch auf einem deutschen Schiff, es gehört der Hamburg-Amerika-Linie, warum sind wir nicht lauter Deutsche hier?";22
"6050";98;"Warum ist der Obermaschinist ein Rumäne?";6
"6051";99;"Er heißt Schubal.";3
"6052";100;"Das ist doch nicht zu glauben.";6
"6053";101;"Und dieser Lumpenhund schindet uns Deutsche auf einem deutschen Schiff!";10
"6054";102;"Glauben Sie nicht« – ihm ging die Luft aus, er fackelte mit der Hand –, »daß ich klage, um zu klagen.";19
"6055";103;"Ich weiß, daß Sie keinen Einfluß haben und selbst ein armes Bürschchen sind.";13
"6056";104;"Aber es ist zu arg!«";5
"6057";105;"Und er schlug auf den Tisch mehrmals mit der Faust und ließ kein Auge von ihr, während er schlug.";19
"6058";106;"»Ich habe doch schon auf so vielen Schiffen gedient« – und er nannte zwanzig Namen hintereinander, als sei es ein Wort, Karl wurde ganz wirr – »und habe mich ausgezeichnet, bin belobt worden, war ein Arbeiter nach dem Geschmack meiner Kapitäne, sogar auf dem gleichen Handelssegler war ich einige Jahre« – er erhob sich, als sei das der Höchstpunkt seines Lebens – »und hier auf diesem Kasten, wo alles nach der Schnur eingerichtet ist, wo kein Witz gefordert wird, hier taug ich nichts, hier stehe ich dem Schubal immer im Wege, bin ein Faulpelz, verdiene hinausgeworfen zu werden und bekomme meinen Lohn aus Gnade.";100
"6059";107;"Verstehen Sie das?";3
"6060";108;"Ich nicht.«";2
"6061";109;"»Das dürfen Sie sich nicht gefallen lassen«, sagte Karl aufgeregt.";10
"6062";110;"Er hatte fast das Gefühl davon verloren, daß er auf dem unsicheren Boden eines Schiffes, an der Küste eines unbekannten Erdteils war, so heimisch war ihm hier auf dem Bett des Heizers zumute.";33
"6063";111;"»Waren Sie schon beim Kapitän?";5
"6064";112;"Haben Sie schon bei ihm Ihr Recht gesucht?«";8
"6065";113;"»Ach gehen Sie, gehen Sie lieber weg.";7
"6066";114;"Ich will Sie nicht hier haben.";6
"6067";115;"Sie hören nicht zu, was ich sage, und geben mir Ratschläge.";11
"6068";116;"Wie soll ich denn zum Kapitän gehen!«";7
"6069";117;"Und müde setzte sich der Heizer wieder und legte das Gesicht in beide Hände.";14
"6070";118;"›Einen besseren Rat kann ich ihm nicht geben‹, sagte sich Karl.";11
"6071";119;"Und er fand überhaupt, daß er lieber seinen Koffer hätte holen sollen, statt hier Ratschläge zu geben, die doch nur für dumm gehalten wurden.";24
"6072";120;"Als ihm der Vater den Koffer für immer übergeben hatte, hatte er im Scherz gefragt: »Wie lange wirst du ihn haben?«";21
"6073";121;"und jetzt war dieser treue Koffer vielleicht schon im Ernst verloren.";11
"6074";122;"Der einzige Trost war noch, daß der Vater von seiner jetzigen Lage kaum erfahren konnte, selbst wenn er nachforschen sollte.";20
"6075";123;"Nur daß er bis New York mitgekommen war, konnte die Schiffsgesellschaft gerade noch sagen.";14
"6076";124;"Leid tat es aber Karl, daß er die Sachen im Koffer noch kaum verwendet hatte, trotzdem er es beispielsweise längst nötig gehabt hätte, das Hemd zu wechseln.";27
"6077";125;"Da hatte er also am unrichtigen Ort gespart; jetzt, wo er es gerade am Beginn seiner Laufbahn nötig haben würde, rein gekleidet aufzutreten, würde er im schmutzigen Hemd erscheinen müssen.";30
"6078";126;"Sonst wäre der Verlust des Koffers nicht gar so arg gewesen, denn der Anzug, den er anhatte, war sogar besser als jener im Koffer, der eigentlich nur ein Notanzug war, den die Mutter noch knapp vor der Abreise hatte flicken müssen.";41
"6079";127;"Jetzt erinnerte er sich auch, daß im Koffer noch ein Stück Veroneser Salami war, die ihm die Mutter als Extragabe eingepackt hatte, von der er jedoch nur den kleinsten Teil hatte aufessen können, da er während der Fahrt ganz ohne Appetit gewesen war und die Suppe, die im Zwischendeck zur Verteilung kam, ihm reichlich genügt hatte.";56
"6080";128;"Jetzt hätte er aber die Wurst gern bei der Hand gehabt, um sie dem Heizer zu verehren.";17
"6081";129;"Denn solche Leute sind leicht gewonnen, wenn man ihnen irgendeine Kleinigkeit zusteckt, das wußte Karl von seinem Vater her, welcher durch Zigarrenverteilung alle die niedrigen Angestellten gewann, mit denen er geschäftlich zu tun hatte.";34
"6082";130;"Jetzt besaß Karl an Verschenkbarem nur noch sein Geld, und das wollte er, wenn er schon vielleicht den Koffer verloren haben sollte, vorläufig nicht anrühren.";25
"6083";131;"Wieder kehrten seine Gedanken zum Koffer zurück, und er konnte jetzt wirklich nicht einsehen, warum er den Koffer während der Fahrt so aufmerksam bewacht hatte, daß ihm die Wache fast den Schlaf gekostet hatte, wenn er jetzt diesen gleichen Koffer so leicht sich hatte wegnehmen lassen.";46
"6084";132;"Er erinnerte sich an die fünf Nächte, während derer er einen kleinen Slowaken, der zwei Schlafstellen links von ihm gelegen war, unausgesetzt im Verdacht gehabt hatte, daß er es auf seinen Koffer abgesehen habe.";34
"6085";133;"Dieser Slowake hatte nur darauf gelauert, daß Karl endlich, von Schwäche befallen, für einen Augenblick einnickte, damit er den Koffer mit einer langen Stange, mit der er immer während des Tages spielte oder übte, zu sich hinüberziehen könne.";38
"6086";134;"Bei Tage sah dieser Slowake unschuldig genug aus, aber kaum war die Nacht gekommen, erhob er sich von Zeit zu Zeit von seinem Lager und sah traurig zu Karls Koffer hinüber.";31
"6087";135;"Karl konnte dies ganz deutlich erkennen, denn immer hatte hie und da jemand mit der Unruhe des Auswanderers ein Lichtchen angezündet, trotzdem dies nach der Schiffsordnung verboten war, und versuchte, unverständliche Prospekte der Auswanderungsagenturen zu entziffern.";36
"6088";136;"War ein solches Licht in der Nähe, dann konnte Karl ein wenig eindämmern, war es aber in der Ferne oder war dunkel, dann mußte er die Augen offenhalten.";28
"6089";137;"Diese Anstrengung hatte ihn recht erschöpft, und nun war sie vielleicht ganz nutzlos gewesen.";14
"6090";138;"Dieser Butterbaum, wenn er ihn einmal irgendwo treffen sollte!";9
"6091";139;"In diesem Augenblick ertönten draußen in weiter Ferne in die bisherige vollkommene Ruhe hinein kleine kurze Schläge, wie von Kinderfüßen, sie kamen näher mit verstärktem Klang, und nun war es ein ruhiger Marsch von Männern.";35
"6092";140;"Sie gingen offenbar, wie es in dem schmalen Gang natürlich war, in einer Reihe, man hörte Klirren wie von Waffen.";20
"6093";141;"Karl, der schon nahe daran gewesen war, sich im Bett zu einem von allen Sorgen um Koffer und Slowaken befreiten Schlafe auszustrecken, schreckte auf und stieß den Heizer an, um ihn endlich aufmerksam zu machen, denn der Zug schien mit seiner Spitze die Tür gerade erreicht zu haben.";48
"6094";142;"»Das ist die Schiffskapelle,« sagte der Heizer, »die haben oben gespielt und gehen jetzt einpacken.";15
"6095";143;"Jetzt ist alles fertig und wir können gehen.";8
"6096";144;"Kommen Sie!«";2
"6097";145;"Er faßte Karl bei der Hand, nahm noch im letzten Augenblick ein eingerahmtes Muttergottesbild von der Wand über dem Bett, stopfte es in seine Brusttasche, ergriff seinen Koffer und verließ mit Karl eilig die Kabine.";35
"6098";146;"»Jetzt gehe ich ins Büro und werde den Herren meine Meinung sagen.";12
"6099";147;"Es ist kein Passagier mehr da, man muß keine Rücksicht nehmen.«";11
"6100";148;"Dieses wiederholte der Heizer verschiedenartig und wollte im Gehen mit Seitwärtsstoßen des Fußes eine den Weg kreuzende Ratte niedertreten, stieß sie aber bloß schneller in das Loch hinein, das sie noch rechtzeitig erreicht hatte.";34
"6101";149;"Er war überhaupt langsam in seinen Bewegungen, denn wenn er auch lange Beine hatte, so waren sie doch zu schwer.";20
"6102";150;"Sie kamen durch eine Abteilung der Küche, wo einige Mädchen in schmutzigen Schürzen – sie begossen sie absichtlich – Geschirr in großen Bottichen reinigten.";22
"6103";151;"Der Heizer rief eine gewisse Line zu sich, legte den Arm um ihre Hüfte und führte sie, die sich immerzu kokett gegen seinen Arm drückte, ein Stückchen mit.";28
"6104";152;"»Es gibt jetzt Auszahlung, willst du mitkommen?«";7
"6105";153;"fragte er.";2
"6106";154;"»Warum soll ich mich bemühn, bring mir das Geld lieber her«, antwortete sie, schlüpfte unter seinem Arm durch und lief davon.";21
"6107";155;"»Wo hast du denn den schönen Knaben aufgegabelt?«";8
"6108";156;"rief sie noch, wollte aber keine Antwort mehr.";8
"6109";157;"Man hörte das Lachen aller Mädchen, die ihre Arbeit unterbrochen hatten.";11
"6110";158;"Sie aber gingen weiter und kamen an eine Tür, die oben einen kleinen Vorgiebel hatte, der von kleinen, vergoldeten Karyatiden getragen war.";22
"6111";159;"Für eine Schiffseinrichtung sah das recht verschwenderisch aus.";8
"6112";160;"Karl war, wie er merkte, niemals in diese Gegend gekommen, die wahrscheinlich während der Fahrt den Passagieren der ersten und zweiten Klasse vorbehalten gewesen war, während man jetzt vor der großen Schiffsreinigung die Trennungstüren ausgehoben hatte.";36
"6113";161;"Sie waren auch tatsächlich schon einigen Männern begegnet, die Besen an der Schulter trugen und den Heizer gegrüßt hatten.";19
"6114";162;"Karl staunte über den großen Betrieb, in seinem Zwischendeck hatte er davon freilich wenig erfahren.";15
"6115";163;"Längs der Gänge zogen sich auch Drähte elektrischer Leitungen, und eine kleine Glocke hörte man immerfort.";16
"6116";164;"Der Heizer klopfte respektvoll an der Türe an und forderte, als man »Herein!«";13
"6117";165;"rief, Karl mit einer Handbewegung auf, ohne Furcht einzutreten.";9
"6118";166;"Dieser trat auch ein, aber blieb an der Tür stehen.";10
"6119";167;"Vor den drei Fenstern des Zimmers sah er die Wellen des Meeres, und bei Betrachtung ihrer fröhlichen Bewegung schlug ihm das Herz, als hätte er nicht fünf lange Tage das Meer ununterbrochen gesehen.";33
"6120";168;"Große Schiffe kreuzten gegenseitig ihre Wege und gaben dem Wellengang nur so weit nach, als es ihre Schwere erlaubte.";19
"6121";169;"Wenn man die Augen klein machte, schienen diese Schiffe vor lauter Schwere zu schwanken.";14
"6122";170;"Auf ihren Masten trugen sie schmale, aber lange Flaggen, die zwar durch die Fahrt gestrafft wurden, trotzdem aber noch hin und her zappelten.";23
"6123";171;"Wahrscheinlich von Kriegsschiffen her erklangen Salutschüsse, die Kanonenrohre eines solchen nicht allzuweit vorüberfahrenden Schiffes, strahlend mit dem Reflex ihres Stahlmantels, waren wie gehätschelt von der sicheren, glatten und doch nicht waagrechten Fahrt.";32
"6124";172;"Die kleinen Schiffchen und Boote konnte man, wenigstens von der Tür aus, nur in der Ferne beobachten, wie sie in Mengen in die Öffnungen zwischen den großen Schiffen einliefen.";29
"6125";173;"Hinter alledem aber stand New York und sah Karl mit hunderttausend Fenstern seiner Wolkenkratzer an.";15
"6126";174;"Ja, in diesem Zimmer wußte man, wo man war.";9
"6127";175;"An einem runden Tisch saßen drei Herren, der eine ein Schiffsoffizier in blauer Schiffsuniform, die zwei anderen, Beamte der Hafenbehörde, in schwarzen amerikanischen Uniformen.";24
"6128";176;"Auf dem Tisch lagen, hochaufgeschichtet, verschiedene Dokumente, welche der Offizier zuerst mit der Feder in der Hand überflog, um sie dann den beiden anderen zu reichen, die bald lasen, bald exzerpierten, bald in ihre Aktentaschen einlegten, wenn nicht gerade der eine, der fast ununterbrochen ein kleines Geräusch mit den Zähnen vollführte, seinem Kollegen etwas in ein Protokoll diktierte.";58
"6129";177;"Am Fenster saß an einem Schreibtisch, den Rücken der Tür zugewendet, ein kleinerer Herr, der mit großen Folianten hantierte, die auf einem starken Bücherbrett in Kopfhöhe vor ihm aneinandergereiht waren.";30
"6130";178;"Neben ihm stand eine offene, wenigstens auf den ersten Blick leere Kassa.";12
"6131";179;"Das zweite Fenster war leer und gab den besten Ausblick.";10
"6132";180;"In der Nähe des dritten aber standen zwei Herren in halblautem Gespräch.";12
"6133";181;"Der eine lehnte neben dem Fenster, trug auch die Schiffsuniform und spielte mit dem Griff des Degens.";17
"6134";182;"Derjenige, mit dem er sprach, war dem Fenster zugewendet und enthüllte hie und da durch eine Bewegung einen Teil der Ordensreihe auf der Brust des andern.";26
"6135";183;"Er war in Zivil und hatte ein dünnes Bambusstöckchen, das, da er beide Hände an den Hüften festhielt, auch wie ein Degen abstand.";23
"6136";184;"Karl hatte nicht viel Zeit, alles anzusehen, denn bald trat ein Diener auf sie zu und fragte den Heizer mit einem Blick, als gehöre er nicht hierher, was er denn wolle.";31
"6137";185;"Der Heizer antwortete, so leise als er gefragt wurde, er wolle mit dem Herrn Oberkassier reden.";16
"6138";186;"Der Diener lehnte für seinen Teil mit einer Handbewegung diese Bitte ab, ging aber dennoch auf den Fußspitzen, dem runden Tisch in großem Bogen ausweichend, zu dem Herrn mit den Folianten.";31
"6139";187;"Dieser Herr – das sah man deutlich – erstarrte geradezu unter den Worten des Dieners, kehrte sich aber endlich nach dem Manne um, der ihn zu sprechen wünschte, und fuchtelte dann, streng abwehrend, gegen den Heizer und der Sicherheit halber auch gegen den Diener hin.";43
"6140";188;"Der Diener kehrte darauf zum Heizer zurück und sagte in einem Tone, als vertraue er ihm etwas an: »Scheren Sie sich sofort aus dem Zimmer!«";25
"6141";189;"Der Heizer sah nach dieser Antwort zu Karl hinunter, als sei dieser sein Herz, dem er stumm seinen Jammer klage.";20
"6142";190;"Ohne weitere Besinnung machte sich Karl los, lief quer durchs Zimmer, daß er sogar leicht an den Sessel des Offiziers streifte, der Diener lief gebeugt mit zum Umfangen bereiten Armen, als jage er ein Ungeziefer, aber Karl war der erste beim Tisch des Oberkassiers, wo er sich festhielt, für den Fall, daß der Diener versuchen sollte, ihn fortzuziehen.";58
"6143";191;"Natürlich wurde gleich das Zimmer lebendig.";6
"6144";192;"Der Schiffsoffizier am Tisch war aufgesprungen, die Herren von der Hafenbehörde sahen ruhig, aber aufmerksam zu, die beiden Herren am Fenster waren nebeneinandergetreten, der Diener, welcher glaubte, er sei dort, wo schon die hohen Herren Interesse zeigten, nicht mehr am Platze, trat zurück.";43
"6145";193;"Der Heizer an der Türe wartete angespannt auf den Augenblick, bis seine Hilfe nötig würde.";15
"6146";194;"Der Oberkassier endlich machte in seinem Lehnsessel eine große Rechtswendung.";10
"6147";195;"Karl kramte aus seiner Geheimtasche, die er den Blicken dieser Leute zu zeigen keine Bedenken hatte, seinen Reisepaß hervor, den er statt weiterer Vorstellung geöffnet auf den Tisch legte.";29
"6148";196;"Der Oberkassier schien diesen Paß für nebensächlich zu halten, denn er schnappte ihn mit zwei Fingern beiseite, worauf Karl, als sei diese Formalität zur Zufriedenheit erledigt, den Paß wieder einsteckte.";30
"6149";197;"»Ich erlaube mir zu sagen«, begann er dann, »daß meiner Meinung nach dem Herrn Heizer Unrecht geschehen ist.";18
"6150";198;"Es ist hier ein gewisser Schubal, der ihm aufsitzt.";9
"6151";199;"Er selbst hat schon auf vielen Schiffen, die er Ihnen alle nennen kann, zur vollständigen Zufriedenheit gedient, ist fleißig, meint es mit seiner Arbeit gut, und es ist wirklich nicht einzusehen, warum er gerade auf diesem Schiff, wo doch der Dienst nicht so übermäßig schwer ist, wie zum Beispiel auf Handelsseglern, schlecht entsprechen sollte.";54
"6152";200;"Es kann daher nur Verleumdung sein, die ihn in seinem Vorwärtskommen hindert und ihn um die Anerkennung bringt, die ihm sonst ganz bestimmt nicht fehlen würde.";26
"6153";201;"Ich habe nur das Allgemeine über diese Sache gesagt, seine besonderen Beschwerden wird er Ihnen selbst vorbringen.«";17
"6154";202;"Karl hatte sich mit dieser Rede an alle Herren gewendet, weil ja tatsächlich auch alle zuhörten und es viel wahrscheinlicher schien, daß sich unter allen zusammen ein Gerechter vorfand, als daß dieser Gerechte gerade der Oberkassier sein sollte.";38
"6155";203;"Aus Schlauheit hatte außerdem Karl verschwiegen, daß er den Heizer erst so kurze Zeit kannte.";15
"6156";204;"Im übrigen hätte er noch viel besser gesprochen, wenn er nicht durch das rote Gesicht des Herrn mit dem Bambusstöckchen beirrt worden wäre, das er von seinem jetzigen Standort zum erstenmal sah.";32
"6157";205;"»Es ist alles Wort für Wort richtig«, sagte der Heizer, ehe ihn noch jemand gefragt, ja ehe man noch überhaupt auf ihn hingesehen hatte.";24
"6158";206;"Diese Übereiltheit des Heizers wäre ein großer Fehler gewesen, wenn nicht der Herr mit den Orden, der, wie es jetzt Karl aufleuchtete, jedenfalls der Kapitän war, offenbar mit sich bereits übereingekommen wäre, den Heizer anzuhören.";35
"6159";207;"Er streckte nämlich die Hand aus und rief dem Heizer zu: »Kommen Sie her!«";14
"6160";208;"mit einer Stimme, fest, um mit einem Hammer darauf zu schlagen.";11
"6161";209;"Jetzt hing alles vom Benehmen des Heizers ab, denn was die Gerechtigkeit seiner Sache anlangte, an der zweifelte Karl nicht.";20
"6162";210;"Glücklicherweise zeigte sich bei dieser Gelegenheit, daß der Heizer schon viel in der Welt herumgekommen war.";16
"6163";211;"Musterhaft ruhig nahm er aus seinem Köfferchen mit dem ersten Griff ein Bündelchen Papiere sowie ein Notizbuch, ging damit, als verstünde sich das von selbst, unter vollständiger Vernachlässigung des Oberkassiers, zum Kapitän und breitete auf dem Fensterbrett seine Beweismittel aus.";40
"6164";212;"Dem Oberkassier blieb nichts übrig, als sich selbst hinzubemühn.";9
"6165";213;"»Der Mann ist ein bekannter Querulant«, sagte er zur Erklärung, »er ist mehr in der Kassa als im Maschinenraum.";19
"6166";214;"Er hat Schubal, diesen ruhigen Menschen, ganz zur Verzweiflung gebracht.";10
"6167";215;"Hören Sie einmal!«";3
"6168";216;"wandte er sich an den Heizer, »Sie treiben Ihre Zudringlichkeit doch schon wirklich zu weit.";15
